iter	Passed	Remaining
720	12593	4873
721	12608	4854
722	12625	4836
723	12641	4819
724	12657	4801
725	12673	4783
726	12689	4764
727	12705	4747
728	12721	4729
729	12736	4710
730	12753	4693
731	12770	4675
732	12786	4657
733	12802	4639
734	12819	4622
735	12836	4604
736	12853	4586
737	12869	4568
738	12885	4550
739	12902	4533
740	12921	4516
741	12939	4499
742	12958	4482
743	12977	4465
744	12997	4448
745	13016	4431
746	13035	4414
747	13053	4397
748	13070	4380
749	13086	4362
750	13103	4344
751	13119	4326
752	13138	4309
753	13155	4292
754	13171	4274
755	13187	4256
756	13203	4238
757	13219	4220
758	13234	4202
759	13249	4184
760	13266	4166
761	13283	4148
762	13298	4130
763	13313	4112
764	13332	4095
765	13348	4077
766	13364	4060
767	13380	4042
768	13397	4024
769	13413	4006
770	13428	3988
771	13443	3970
772	13460	3952
773	13477	3935
774	13495	3918
775	13513	3900
776	13530	3883
777	13548	3866
778	13566	3848
779	13584	3831
780	13602	3814
781	13620	3796
782	13638	3779
783	13655	3762
784	13671	3744
785	13687	3726
786	13703	3708
787	13719	3691
788	13735	3673
789	13752	3655
790	13767	3637
791	13784	3620
792	13800	3602
793	13816	3584
794	13831	3566
795	13847	3548
796	13864	3531
797	13881	3513
798	13900	3496
799	13916	3479
800	13931	3461
801	13947	3443
802	13963	3425
803	13979	3407
804	13996	3390
805	14011	3372
806	14027	3354
807	14044	3337
808	14060	3319
809	14075	3301
810	14093	3284
811	14109	3266
812	14125	3249
813	14142	3231
814	14160	3214
815	14179	3197
816	14197	3180
817	14218	3163
818	14237	3146
819	14254	3129
820	14272	3111
821	14288	3094
822	14307	3076
823	14323	3059
824	14339	3041
825	14356	3024
826	14371	3006
827	14386	2988
828	14403	2971
829	14419	2953
830	14435	2935
831	14451	2918
832	14467	2900
833	14483	2882
834	14499	2865
835	14515	2847
836	14530	2829
837	14547	2812
838	14563	2794
839	14581	2777
840	14597	2759
841	14611	2741
842	14627	2724
843	14643	2706
844	14660	2689
845	14676	2671
846	14694	2654
847	14710	2636
848	14727	2619
849	14743	2601
850	14760	2584
851	14776	2566
852	14794	2549
853	14808	2531
854	14822	2513
855	14838	2496
856	14855	2478
857	14873	2461
858	14890	2444
859	14908	2426
860	14926	2409
861	14944	2392
862	14962	2375
863	14979	2357
864	14999	2340
865	15017	2323
866	15036	2306
867	15054	2289
868	15071	2271
869	15087	2254
870	15103	2236
871	15118	2219
872	15135	2201
873	15152	2184
874	15167	2166
875	15182	2149
876	15198	2131
877	15214	2114
878	15230	2096
879	15246	2079
880	15264	2061
881	15282	2044
882	15299	2027
883	15313	2009
884	15329	1991
885	15345	1974
886	15362	1957
887	15378	1939
888	15396	1922
889	15411	1904
890	15427	1887
891	15444	1869
892	15460	1852
893	15475	1834
894	15490	1817
895	15507	1799
896	15523	1782
897	15540	1765
898	15557	1747
899	15573	1730
900	15587	1712
901	15603	1695
902	15620	1677
903	15636	1660
904	15652	1643
905	15667	1625
906	15683	1608
907	15698	1590
908	15717	1573
909	15735	1556
910	15753	1539
911	15772	1521
912	15792	1504
913	15810	1487
914	15828	1470
915	15849	1453
916	15866	1436
917	15883	1418
918	15899	1401
919	15914	1383
920	15932	1366
921	15947	1349
922	15964	1331
923	15982	1314
924	15999	1297
925	16016	1279
926	16033	1262
927	16051	1245
928	16068	1228
929	16086	1210
930	16104	1193
931	16119	1176
932	16135	1158
933	16151	1141
934	16169	1124
935	16187	1106
936	16202	1089
937	16218	1071
938	16234	1054
939	16250	1037
940	16265	1019
941	16283	1002
942	16300	985
943	16318	968
944	16337	950
945	16356	933
946	16375	916
947	16394	899
948	16413	882
949	16431	864
950	16447	847
951	16462	830
952	16478	812
953	16493	795
954	16509	777
955	16525	760
956	16540	743
957	16555	725
958	16571	708
959	16587	691
960	16606	673
961	16622	656
962	16637	639
963	16654	621
964	16671	604
965	16688	587
966	16706	570
967	16724	552
968	16742	535
969	16759	518
970	16781	501
971	16812	484
972	16842	467
973	16870	450
974	16897	433
975	16922	416
976	16945	398
977	16970	381
978	16994	364
979	17021	347
980	17046	330
981	17070	312
982	17086	295
983	17104	278
984	17120	260
985	17138	243
986	17157	225
987	17174	208
988	17192	191
989	17211	173
990	17232	156
991	17250	139
992	17267	121
993	17284	104
994	17299	86
995	17317	69
996	17330	52
997	17346	34
998	17361	17
999	17377	0
